,id,city,category,district,size,year of construction,number of rooms,floor,Total floors,elevator,parking,storage,date,price per meter (Toman),total price (Toman)
571,AZ8ZsmvF,tehran,buy-apartment,saadat-abad,97,1387,2,4,5,yes,yes,yes,2023-06-21,"134,020,000","13,000,000,000"
572,AZRWWDKu,tehran,buy-apartment,saadat-abad,145,1401,3,4,NA,yes,yes,yes,2023-06-21,"310,000,000","44,950,000,000"
573,AZ2ldg9q,tehran,buy-apartment,saadat-abad,142,1401,3,5,5,yes,yes,yes,2023-06-21,"197,183,000","28,000,000,000"
574,AZRaHH1s,tehran,buy-apartment,saadat-abad,120,1401,2,5,NA,yes,yes,yes,2023-06-21,"226,166,000","27,140,000,000"
575,AZFuItkF,tehran,buy-apartment,shahrak-gharb,125,1396,3,5,5,yes,yes,yes,2023-06-21,"185,600,000","23,200,000,000"
576,AZN-bkjR,tehran,buy-apartment,abshar-tehran,138,1402,3,11,NA,yes,yes,yes,2023-06-21,"28,985,000","4,000,000,000"
577,AZNWsvoY,tehran,buy-apartment,abshar-tehran,140,1402,3,12,NA,yes,yes,yes,2023-06-21,"20,000,000","2,800,000,000"
578,AZO-_fie,tehran,buy-apartment,ostad-moein,44,1402,1,1,5,yes,yes,yes,2023-06-21,"79,545,000","3,500,000,000"
579,AZI2QSoX,tehran,buy-apartment,sadeghiyeh,104,1385,2,1,4,no,yes,yes,2023-06-21,"96,153,000","10,000,000,000"
580,AZ_JFfda,tehran,buy-apartment,moniriyeh,190,1394,3,3,5,yes,yes,yes,2023-06-21,"110,526,000","21,000,000,000"
581,AZSauXLe,tehran,buy-apartment,chizar,55,1372,1,1,3,no,no,no,2023-06-21,"103,636,000","5,700,000,000"
582,AZPef55-,tehran,buy-apartment,beryanak,55,1390,1,hmkhf,4,yes,no,yes,2023-06-21,"41,818,000","2,300,000,000"
583,AZ_dCufj,tehran,buy-apartment,bagh-khazaneh,90,1401,2,4,5,yes,yes,yes,2023-06-21,"55,000,000","4,950,000,000"
584,AZSaeQnA,tehran,buy-apartment,zafaraniyeh,600,1386,+4,9,9,yes,yes,yes,2023-06-21,"170,000,000","102,000,000,000"
585,AZGqL_5z,tehran,buy-apartment,ekbatan,70,1386,2,3,4,no,no,yes,2023-06-21,"60,000,000","4,200,000,000"
586,AZSaeLnK,tehran,buy-apartment,saadat-abad,365,1402,4,1,NA,yes,yes,yes,2023-06-21,"320,000,000","116,800,000,000"
587,AZR-Z-Ss,tehran,buy-apartment,hashem-abad,70,1402,2,2,NA,yes,yes,yes,2023-06-21,"30,000,000","2,100,000,000"
588,AZSauK43,tehran,buy-apartment,shahrak-shahid-bagheri,71,1385,2,3,4,no,no,yes,2023-06-21,"71,830,000","5,100,000,000"
589,AZEyCZ8V,tehran,buy-apartment,qoba,120,1400,2,10,NA,yes,yes,yes,2023-06-21,"166,666,000","20,000,000,000"
590,AZSaOUkO,tehran,buy-apartment,heravi,123,1392,2,5,5,yes,yes,yes,2023-06-21,"134,146,000","16,500,000,000"
591,AZSa-ICl,tehran,buy-apartment,shahrara,118,1381,3,3,4,no,yes,yes,2023-06-21,"91,525,000","10,800,000,000"
592,AZPmQvnu,tehran,buy-apartment,gomrok,65,1392,2,1,4,yes,no,yes,2023-06-21,"42,692,000","2,775,000,000"
593,AZNWKkGU,tehran,buy-apartment,sattarkhan,140,1402,3,2,4,yes,yes,yes,2023-06-21,"100,000,000","14,000,000,000"
594,AZNmKLx7,tehran,buy-apartment,daryan-no,110,1402,2,3,5,yes,yes,yes,2023-06-21,"113,636,000","12,500,000,000"
595,AZ1leeo7,tehran,buy-apartment,patrice-lumumba,130,1400,3,4,5,yes,yes,yes,2023-06-21,"100,000,000","13,000,000,000"
596,AZSq8PR7,tehran,buy-apartment,daryan-no,135,1402,3,5,5,yes,yes,yes,2023-06-21,"112,592,000","15,200,000,000"
597,AZS6boh4,tehran,buy-apartment,sattarkhan,106,1401,2,5,5,yes,yes,yes,2023-06-21,"110,000,000","11,660,000,000"
598,AZSGM_8t,tehran,buy-apartment,daryan-no,90,1390,2,2,5,yes,yes,yes,2023-06-21,"91,111,000","8,200,000,000"
599,AZAmySB1,tehran,buy-apartment,pasdaran,162,1394,3,1,5,yes,yes,yes,2023-06-21,"151,234,000","24,500,000,000"
600,AZ_BEViO,tehran,buy-apartment,pasdaran,95,1394,2,3,5,yes,yes,yes,2023-06-21,"142,105,000","13,500,000,000"
601,AZEiyFwR,tehran,buy-apartment,pasdaran,105,1392,2,3,5,yes,yes,yes,2023-06-21,"149,523,000","15,700,000,000"
602,AZP2_yDu,tehran,buy-apartment,darrous,200,1392,3,5,5,yes,yes,yes,2023-06-21,"260,000,000","52,000,000,000"
603,AZSaeGc_,tehran,buy-apartment,jomhouri,86,1371,2,1,3,no,no,yes,2023-06-21,"44,767,000","3,850,000,000"
604,AZNG1r6X,tehran,buy-apartment,mirdamad,120,1402,2,2,NA,yes,yes,yes,2023-06-21,"167,708,000","20,125,000,000"
605,AZPOmUJk,tehran,buy-apartment,qeytarieh,150,1399,3,2,5,yes,yes,yes,2023-06-21,"206,666,000","31,000,000,000"
606,AZPWBq8X,tehran,buy-apartment,sohrevardi,131,qbl z 1370,3,1,3,no,yes,yes,2023-06-21,"109,160,000","14,300,000,000"
607,AZG2t98Y,tehran,buy-apartment,bahar,100,1377,2,2,4,no,yes,yes,2023-06-21,"79,000,000","7,900,000,000"
608,AZvxYXdb,tehran,buy-apartment,sohrevardi,70,1382,1,2,4,yes,yes,yes,2023-06-21,"104,285,000","7,300,000,000"
609,AZ-VvNrW,tehran,buy-apartment,sohrevardi,160,1386,3,1,5,yes,yes,yes,2023-06-21,"87,437,000","13,990,000,000"
610,AZJiZMvK,tehran,buy-apartment,sohrevardi,100,1375,2,3,4,no,yes,yes,2023-06-21,"69,800,000","6,980,000,000"
611,AZESiqTw,tehran,buy-apartment,niloufar,186,1402,3,5,5,yes,yes,yes,2023-06-21,"129,870,000","24,156,000,000"
612,AZSe-E38,tehran,buy-apartment,mahmoodiyeh,120,1400,2,6,NA,yes,yes,yes,2023-06-21,"282,500,000","33,900,000,000"
613,AZSW6dp1,tehran,buy-apartment,chitgar,120,1402,2,10,NA,yes,yes,yes,2023-06-21,"22,500,000","2,700,000,000"
614,AZz9IP0k,tehran,buy-apartment,niavaran,239,1390,3,3,NA,yes,yes,yes,2023-06-21,"161,297,000","38,550,000,000"
615,AZSCNY8W,tehran,buy-apartment,dolatkhah,105,1402,2,4,5,yes,yes,yes,2023-06-21,"40,000,000","4,200,000,000"
616,AZSeOC5a,tehran,buy-apartment,punak,54,1385,1,1,4,no,yes,yes,2023-06-21,"137,037,000","7,400,000,000"
617,AZMWSs1N,tehran,buy-apartment,sarvazad,123,1402,2,19,NA,yes,yes,yes,2023-06-21,"65,040,000","8,000,000,000"
618,AZRyFCm-,tehran,buy-apartment,qolhak,72,1383,2,2,NA,yes,yes,yes,2023-06-21,"116,666,000","8,400,000,000"
619,AZ0VGFsu,tehran,buy-apartment,vanak-village,105,1385,2,2,NA,yes,yes,yes,2023-06-21,"92,380,000","9,700,000,000"
620,AZ4ZDCgK,tehran,buy-apartment,vanak,175,1395,3,2,NA,yes,yes,yes,2023-06-21,"156,000,000","27,300,000,000"
621,AZQG2gtU,tehran,buy-apartment,qeytarieh,112,1399,2,4,5,yes,yes,yes,2023-06-21,"164,285,000","18,400,000,000"
622,AZSa-6YG,tehran,buy-apartment,jordan,78,1378,2,2,9,yes,yes,yes,2023-06-21,"141,025,000","11,000,000,000"
623,AZSau6fi,tehran,buy-apartment,gisha,83,1391,2,2,4,yes,yes,no,2023-06-21,"170,000,000","14,110,000,000"
624,AZMOEIYo,tehran,buy-apartment,sarvazad,125,1402,2,9,NA,yes,yes,yes,2023-06-21,"64,800,000","8,100,000,000"
625,AZSae38U,tehran,buy-apartment,pasdaran,150,1402,3,3,NA,yes,yes,yes,2023-06-21,"140,000,000","21,000,000,000"
626,AZFuo8lt,tehran,buy-apartment,qeytarieh,103,1384,2,hmkhf,4,yes,yes,yes,2023-06-21,"142,718,000","14,700,000,000"
627,AZRuZyoQ,tehran,buy-apartment,makhsous,72,1386,2,3,NA,no,no,yes,2023-06-21,"37,222,000","2,680,000,000"
628,AZQmRM2a,tehran,buy-apartment,moniriyeh,126,1396,1,2,4,yes,yes,yes,2023-06-21,"70,634,000","8,900,000,000"
