,id,city,category,district,size,year of construction,number of rooms,floor,Total floors,elevator,parking,storage,date,price per meter (Toman),total price (Toman)
712,AZvxSAZr,tehran,buy-apartment,pasdaran,240,1401,4,7,7,yes,yes,yes,2023-06-21,"179,166,000","43,000,000,000"
713,AZPS_Mu8,tehran,buy-apartment,north-shahran,56,1380,2,1,5,no,no,yes,2023-06-21,"76,785,000","4,300,000,000"
714,AZJWXGOI,tehran,buy-apartment,south-narmak,88,1400,2,3,4,yes,yes,yes,2023-06-21,"86,363,000","7,600,000,000"
715,AZAC3TUP,tehran,buy-apartment,north-jannat-abad,51,1382,1,4,4,no,no,yes,2023-06-21,"73,529,000","3,750,000,000"
716,AZRyUQp2,tehran,buy-apartment,almahdi,60,1383,2,hmkhf,5,yes,no,yes,2023-06-21,"88,333,000","5,300,000,000"
717,AZPKBUJN,tehran,buy-apartment,saadat-abad,130,1383,3,2,NA,yes,yes,yes,2023-06-21,"133,076,000","17,300,000,000"
718,AZNOGGor,tehran,buy-apartment,sazman-barnameh,104,1395,2,2,NA,yes,yes,yes,2023-06-21,"109,615,000","11,400,000,000"
719,AZCmj0iL,tehran,buy-apartment,mobarak-abad-beheshti,78,1402,2,2,NA,yes,yes,yes,2023-06-21,"29,487,000","2,300,000,000"
720,AZ-dfeAX,tehran,buy-apartment,chitgar,110,1402,2,25,30,yes,yes,yes,2023-06-21,"28,636,000","3,150,000,000"
721,AZSqulJA,tehran,buy-apartment,dezashib,145,1381,2,1,8,yes,yes,yes,2023-06-21,"134,482,000","19,500,000,000"
722,AZFq7j9I,tehran,buy-apartment,chitgar,52,1397,1,3,3,no,yes,no,2023-06-21,"55,000,000","2,860,000,000"
723,AZSqOkNs,tehran,buy-apartment,punak,60,1385,2,1,4,no,yes,yes,2023-06-21,"103,333,000","6,200,000,000"
724,AZxV-7go,tehran,buy-apartment,niavaran,330,1398,4,5,6,yes,yes,yes,2023-06-21,"280,000,000","92,400,000,000"
725,AZ1Z75Cg,tehran,buy-apartment,niavaran,330,1402,3,6,9,yes,yes,yes,2023-06-21,"363,636,000","120,000,000,000"
726,AZSqeW9O,tehran,buy-apartment,jey,67,1394,2,3,5,yes,yes,yes,2023-06-21,"49,253,000","3,300,000,000"
727,AZQKlxjB,tehran,buy-apartment,south-jannat-abad,75,1390,2,3,5,yes,yes,yes,2023-06-21,"113,333,000","8,500,000,000"
728,AZNmnqSv,tehran,buy-apartment,shahin,93,1402,2,2,NA,yes,yes,yes,2023-06-21,"118,279,000","11,000,000,000"
729,AZRiV_YQ,tehran,buy-apartment,central-jannat-abad,66,1399,1,4,NA,yes,yes,yes,2023-06-21,"94,696,000","6,250,000,000"
730,AZR6qpjc,tehran,buy-apartment,mirdamad,125,1380,2,5,5,yes,yes,yes,2023-06-21,"108,000,000","13,500,000,000"
731,AZOGtcN0,tehran,buy-apartment,darrous,73,1388,2,3,NA,yes,yes,yes,2023-06-21,"123,287,000","9,000,000,000"
732,AZSqOs_w,tehran,buy-apartment,jeyhoon,59,1391,1,1,NA,no,yes,yes,2023-06-21,"66,101,000","3,900,000,000"
733,AZJeMoj1,tehran,buy-apartment,majidiyeh,55,1398,2,1,NA,yes,yes,yes,2023-06-21,"82,727,000","4,550,000,000"
734,AZSOt9cj,tehran,buy-apartment,tehran-zanjan,58,1402,2,4,4,yes,yes,yes,2023-06-21,"75,000,000","4,350,000,000"
735,AZSq-c2x,tehran,buy-apartment,west-tehran-pars,60,1384,1,3,4,no,no,no,2023-06-21,"70,000,000","4,200,000,000"
736,AZSqedau,tehran,buy-apartment,yousef-abad,85,1393,2,2,NA,yes,yes,yes,2023-06-21,"120,000,000","10,200,000,000"
737,AZP-_lRr,tehran,buy-apartment,north-jannat-abad,76,1384,2,3,NA,no,yes,yes,2023-06-21,"64,473,000","4,900,000,000"
738,AZIuTitT,tehran,buy-apartment,punak,58,1385,2,4,NA,yes,yes,yes,2023-06-21,"122,413,000","7,100,000,000"
739,AZRGZxhl,tehran,buy-apartment,jeyhoon,58,1385,1,1,4,no,no,yes,2023-06-21,"47,413,000","2,750,000,000"
740,AZB651MJ,tehran,buy-apartment,jeyhoon,69,1382,2,hmkhf,4,no,no,yes,2023-06-21,"52,173,000","3,600,000,000"
741,AZHOSlRR,tehran,buy-apartment,majidiyeh,40,1395,1,3,NA,no,yes,no,2023-06-21,"77,000,000","3,080,000,000"
742,AZQWRbg7,tehran,buy-apartment,piroozi,52,1391,2,1,NA,no,no,yes,2023-06-21,"72,038,000","3,746,000,000"
743,AZ_JABNd,tehran,buy-apartment,niavaran,110,1390,2,1,NA,yes,yes,yes,2023-06-21,"161,818,000","17,800,000,000"
744,AZRmq-0X,tehran,buy-apartment,shahrak-naft-district5,92,1385,2,hmkhf,NA,yes,yes,yes,2023-06-21,"101,086,000","9,300,000,000"
745,AZs1FjAa,tehran,buy-apartment,central-jannat-abad,63,1385,1,3,NA,no,yes,yes,2023-06-21,"85,714,000","5,400,000,000"
746,AZ_VpUoH,tehran,buy-apartment,jordan,125,1386,2,3,NA,yes,yes,yes,2023-06-21,"140,000,000","17,500,000,000"
747,AZReI-Gw,tehran,buy-apartment,punak,48,1380,1,2,4,no,yes,yes,2023-06-21,"90,625,000","4,350,000,000"
748,AZSu-M5z,tehran,buy-apartment,elahiyeh,285,1388,4,1,5,yes,yes,yes,2023-06-21,"200,000,000","57,000,000,000"
749,AZQ2UZC6,tehran,buy-apartment,heravi,135,1393,3,2,9,yes,yes,yes,2023-06-21,"122,222,000","16,500,000,000"
750,AZBarVfz,tehran,buy-apartment,kouhak,91,1397,2,8,15,yes,yes,yes,2023-06-21,"80,769,000","7,350,000,000"
751,AZN-qk0s,tehran,buy-apartment,jordan,115,1375,2,1,NA,yes,yes,yes,2023-06-21,"134,782,000","15,500,000,000"
752,AZRO572G,tehran,buy-apartment,chitgar,60,1402,1,2,24,yes,yes,yes,2023-06-21,"22,500,000","1,350,000,000"
753,AZSuOFgH,tehran,buy-apartment,elahiyeh,253,1397,4,8,NA,yes,yes,yes,2023-06-21,"347,826,000","88,000,000,000"
754,AZNWqJyB,tehran,buy-apartment,kamraniyeh,230,1398,3,3,NA,yes,yes,yes,2023-06-21,"217,391,000","50,000,000,000"
755,AZLqx0kj,tehran,buy-apartment,yousef-abad,115,1385,2,4,NA,yes,yes,yes,2023-06-21,"135,000,000","15,525,000,000"
756,AZSueNuO,tehran,buy-apartment,sizdah-aban,100,1402,2,5,5,yes,yes,yes,2023-06-21,"45,100,000","4,510,000,000"
757,AZSuOQvU,tehran,buy-apartment,tehran-iran,103,1383,2,2,NA,yes,yes,yes,2023-06-21,"74,271,000","7,650,000,000"
758,AZRaELZa,tehran,buy-apartment,navvab,45,1382,1,1,4,no,yes,no,2023-06-21,"43,333,000","1,950,000,000"
759,AZrVT_K0,tehran,buy-apartment,tehransar,83,1394,2,1,5,yes,yes,yes,2023-06-21,"68,674,000","5,700,000,000"
760,AZHujIE_,tehran,buy-apartment,tehransar,87,1402,2,1,5,yes,yes,yes,2023-06-21,"80,459,000","7,000,000,000"
761,AZRyqPZQ,tehran,buy-apartment,ostad-moein,90,1395,2,4,NA,yes,yes,yes,2023-06-21,"62,222,000","5,600,000,000"
762,AZRmbLtP,tehran,buy-apartment,jordan,80,1395,2,3,NA,yes,yes,yes,2023-06-21,"188,750,000","15,100,000,000"
763,AZ3BGNxl,tehran,buy-apartment,mirdamad,146,1401,3,3,NA,yes,yes,yes,2023-06-21,"150,000,000","21,900,000,000"
764,AZSqO0dX,tehran,buy-apartment,chitgar,122,1402,2,18,18,yes,yes,yes,2023-06-21,"80,000,000","9,760,000,000"
765,AZzB7Vz-,tehran,buy-apartment,ararat,117,qbl z 1370,2,hmkhf,4,yes,yes,no,2023-06-21,"85,470,000","10,000,000,000"
766,AZSu-9Im,tehran,buy-apartment,ostad-moein,89,1397,2,3,6,yes,yes,yes,2023-06-21,"66,853,000","5,950,000,000"
767,AZDKCAv-,tehran,buy-apartment,qeytarieh,96,1398,2,2,NA,yes,yes,yes,2023-06-21,"198,958,000","19,100,000,000"
768,AZzBV7vS,tehran,buy-apartment,sohrevardi,115,1391,2,2,NA,yes,yes,yes,2023-06-21,"104,347,000","12,000,000,000"
769,AZBGam1q,tehran,buy-apartment,mobarak-abad-beheshti,86,1397,2,2,NA,yes,yes,yes,2023-06-21,"32,790,000","2,820,000,000"
770,AZPaUaJe,tehran,buy-apartment,elahiyeh,368,1397,4,1,7,yes,yes,yes,2023-06-21,"244,565,000","90,000,000,000"
771,AZSu-6e0,tehran,buy-apartment,shahrak-ferdos,90,1390,2,1,4,yes,yes,yes,2023-06-21,"66,666,000","6,000,000,000"
772,AZ4FoEt_,tehran,buy-apartment,aqdasiyeh,110,1401,2,5,NA,yes,yes,yes,2023-06-21,"170,000,000","18,700,000,000"
773,AZPCz8m_,tehran,buy-apartment,mobarak-abad-beheshti,110,1402,2,3,NA,yes,yes,yes,2023-06-21,"28,000,000","3,080,000,000"
774,AZO6ZWZJ,tehran,buy-apartment,ostad-moein,78,1388,2,2,NA,no,yes,yes,2023-06-21,"60,256,000","4,700,000,000"
775,AZOG_xmc,tehran,buy-apartment,beryanak,68,1395,2,2,NA,yes,yes,yes,2023-06-21,"61,764,000","4,200,000,000"
776,AZLe2edL,tehran,buy-apartment,elahiyeh,320,1394,4,2,5,yes,yes,yes,2023-06-21,"265,625,000","85,000,000,000"
777,AZSuu51z,tehran,buy-apartment,ajudaniye,200,1389,3,4,5,yes,yes,yes,2023-06-21,"160,000,000","32,000,000,000"
778,AZSyeDpf,tehran,buy-apartment,chitgar-lake,95,1400,2,5,20,yes,yes,yes,2023-06-21,"91,578,000","8,700,000,000"
779,AZtZSxcR,tehran,buy-apartment,mobarak-abad-beheshti,55,1402,1,2,NA,yes,yes,yes,2023-06-21,"29,000,000","1,595,000,000"
780,AZD6WRBZ,tehran,buy-apartment,velenjak,330,1395,4,4,10,yes,yes,yes,2023-06-21,"233,333,000","77,000,000,000"
781,AZt9cUy5,tehran,buy-apartment,elahiyeh,170,1390,3,5,NA,yes,yes,yes,2023-06-21,"229,411,000","39,000,000,000"
782,AZRm5WNE,tehran,buy-apartment,falah,64,1380,2,2,NA,no,yes,yes,2023-06-21,"36,718,000","2,350,000,000"
783,AZRqJ9Sr,tehran,buy-apartment,tehran-shandiz,80,1396,2,5,NA,yes,yes,yes,2023-06-21,"58,750,000","4,700,000,000"
784,AZyxu3ph,tehran,buy-apartment,beryanak,45,1378,1,2,NA,no,no,yes,2023-06-21,"48,444,000","2,180,000,000"
785,AZSuu1O8,tehran,buy-apartment,qolhak,95,1383,2,1,4,no,no,yes,2023-06-21,"89,473,000","8,500,000,000"
786,AZ4dkvkg,tehran,buy-apartment,chitgar,110,1402,2,12,12,yes,yes,yes,2023-06-21,"52,272,000","5,750,000,000"
787,AZKKuzXB,tehran,buy-apartment,aqdasiyeh,60,1402,1,3,30,yes,yes,yes,2023-06-21,"91,666,000","5,500,000,000"
788,AZSyetv9,tehran,buy-apartment,shahrak-rahahan,83,1387,2,3,NA,no,yes,yes,2023-06-21,"62,650,000","5,200,000,000"
789,AZN60_6p,tehran,buy-apartment,jordan,121,1388,2,2,5,yes,yes,yes,2023-06-21,"136,363,000","16,500,000,000"
790,AZOK7TwM,tehran,buy-apartment,niavaran,230,1400,3,8,NA,yes,yes,yes,2023-06-21,"228,260,000","52,500,000,000"
791,AZF21u4q,tehran,buy-apartment,yousef-abad,125,1397,2,2,5,yes,yes,yes,2023-06-21,"112,000,000","14,000,000,000"
792,AZSy-qkU,tehran,buy-apartment,aqdasiyeh,300,1401,4,7,NA,yes,yes,yes,2023-06-21,"616,666,000","185,000,000,000"
793,AZSy-pwZ,tehran,buy-apartment,central-jannat-abad,85,1402,2,6,7,yes,yes,yes,2023-06-21,"150,000,000","12,750,000,000"
794,AZRO-R33,tehran,buy-apartment,mirdamad,117,1380,2,5,6,yes,yes,yes,2023-06-21,"126,495,000","14,800,000,000"
795,AZSyexh8,tehran,buy-apartment,sadeghiyeh,46,1391,1,3,4,yes,yes,yes,2023-06-21,"119,565,000","5,500,000,000"
796,AZSa-7I1,tehran,buy-apartment,sazman-barnameh,110,1393,2,4,5,yes,yes,yes,2023-06-21,"87,272,000","9,600,000,000"
797,AZOm7pM3,tehran,buy-apartment,yousef-abad,148,1401,3,3,5,yes,yes,yes,2023-06-21,"148,648,000","22,000,000,000"
798,AZPOCIY5,tehran,buy-apartment,narmak,63,1393,1,3,NA,yes,yes,yes,2023-06-21,"109,523,000","6,900,000,000"
799,AZz1AEC_,tehran,buy-apartment,yousef-abad,135,1402,3,2,NA,yes,yes,yes,2023-06-21,"160,740,000","21,700,000,000"
800,AZQ-X3Za,tehran,buy-apartment,behjat-abad,113,1402,2,4,5,yes,yes,yes,2023-06-21,"130,000,000","14,690,000,000"
801,AZ0J3r-6,tehran,buy-apartment,saadat-abad,195,1402,3,3,6,yes,yes,yes,2023-06-21,"350,000,000","68,250,000,000"
802,AZzxTTsu,tehran,buy-apartment,velenjak,250,1402,3,2,5,yes,yes,yes,2023-06-21,"550,000,000","137,500,000,000"
803,AZQSiibi,tehran,buy-apartment,yousef-abad,183,1402,3,2,6,yes,yes,yes,2023-06-21,"200,000,000","36,600,000,000"
804,AZQ6Watz,tehran,buy-apartment,yousef-abad,122,1402,2,2,6,yes,yes,yes,2023-06-21,"190,000,000","23,180,000,000"
805,AZSyeVFR,tehran,buy-apartment,punak,69,1388,2,2,4,no,yes,yes,2023-06-21,"88,405,000","6,100,000,000"
806,AZSyukFj,tehran,buy-apartment,central-jannat-abad,110,1395,2,5,5,yes,yes,yes,2023-06-21,"108,181,000","11,900,000,000"
807,AZSyuGqI,tehran,buy-apartment,niloufar,112,1382,4,3,4,no,yes,yes,2023-06-21,"103,571,000","11,600,000,000"
808,AZ0FrL7z,tehran,buy-apartment,north-jannat-abad,76,1389,2,5,NA,yes,yes,yes,2023-06-21,"89,328,000","6,789,000,000"
809,AZSyeu0p,tehran,buy-apartment,navvab,105,1402,2,6,7,yes,yes,yes,2023-06-21,"55,000,000","5,775,000,000"
810,AZEKZplK,tehran,buy-apartment,central-jannat-abad,86,1388,2,3,4,no,yes,yes,2023-06-21,"74,651,000","6,420,000,000"
811,AZS2-iEk,tehran,buy-apartment,south-jannat-abad,77,1385,2,1,4,no,yes,yes,2023-06-21,"100,649,000","7,750,000,000"
812,AZ7BjGOY,tehran,buy-apartment,jey,41,1395,1,3,NA,yes,no,yes,2023-06-21,"63,414,000","2,600,000,000"
813,AZS2Ola9,tehran,buy-apartment,kuy-ferdows,100,1402,2,4,NA,yes,yes,yes,2023-06-21,"139,000,000","13,900,000,000"
814,AZS2uXK9,tehran,buy-apartment,sazman-aab,105,1384,2,4,4,yes,yes,yes,2023-06-21,"91,095,000","9,565,000,000"
815,AZS2-dMT,tehran,buy-apartment,salsabil,63,1397,2,4,5,yes,yes,yes,2023-06-21,"84,126,000","5,300,000,000"
816,AZR6pkZ7,tehran,buy-apartment,north-shahran,100,1401,2,1,5,yes,yes,yes,2023-06-21,"120,000,000","12,000,000,000"
817,AZS2-VS_,tehran,buy-apartment,niavaran,274,1396,4,2,6,yes,yes,yes,2023-06-21,"193,430,000","53,000,000,000"
818,AZPKRJ8L,tehran,buy-apartment,sazman-barnameh,70,1382,2,1,4,no,yes,no,2023-06-21,"89,000,000","6,230,000,000"
819,AZS2-myq,tehran,buy-apartment,salsabil,56,1384,1,1,4,no,no,yes,2023-06-21,"44,642,000","2,500,000,000"
820,AZS2uTdp,tehran,buy-apartment,yousef-abad,108,1380,2,4,5,yes,yes,yes,2023-06-21,"118,518,000","12,800,000,000"
821,AZuVU1p1,tehran,buy-apartment,andisheh,80,1402,2,2,NA,yes,yes,yes,2023-06-21,"46,250,000","3,700,000,000"
822,AZFOPJ9F,tehran,buy-apartment,south-jannat-abad,175,1402,3,3,5,yes,yes,yes,2023-06-21,"131,428,000","23,000,000,000"
823,AZxdPxna,tehran,buy-apartment,meydan-horr,70,1381,2,2,NA,no,yes,yes,2023-06-21,"59,285,000","4,150,000,000"
824,AZSecT_h,tehran,buy-apartment,central-jannat-abad,65,1382,2,3,4,no,yes,yes,2023-06-21,"73,846,000","4,800,000,000"
825,AZt15Avk,tehran,buy-apartment,central-jannat-abad,96,1400,2,7,14,yes,yes,yes,2023-06-21,"135,937,000","13,050,000,000"
826,AZm9z5ld,tehran,buy-apartment,heravi,190,1402,bdwn tq,10,11,yes,yes,yes,2023-06-21,"115,000,000","21,850,000,000"
827,AZS2uQCG,tehran,buy-apartment,kamraniyeh,113,1398,2,1,NA,yes,yes,yes,2023-06-21,"165,398,000","18,690,000,000"
828,AZEWCq-F,tehran,buy-apartment,chitgar-lake,124,1401,2,19,NA,yes,yes,yes,2023-06-21,"96,774,000","12,000,000,000"
829,AZQmyXsu,tehran,buy-apartment,kuy-ferdows,90,1395,2,3,5,yes,yes,yes,2023-06-21,"130,333,000","11,730,000,000"
830,AZPOit1l,tehran,buy-apartment,salsabil,60,1398,2,1,NA,yes,no,yes,2023-06-21,"79,166,000","4,750,000,000"
831,AZS2-NPM,tehran,buy-apartment,andisheh,48,1397,2,3,NA,yes,yes,yes,2023-06-21,"27,083,000","1,300,000,000"
832,AZS2OTZQ,tehran,buy-apartment,south-mehr-abad,61,1397,1,3,5,yes,yes,yes,2023-06-21,"57,049,000","3,480,000,000"
833,AZICTr_s,tehran,buy-apartment,andisheh,59,1394,2,2,NA,no,yes,yes,2023-06-21,"38,983,000","2,300,000,000"
834,AZRK8e7F,tehran,buy-apartment,jomhouri,63,1372,2,4,NA,no,no,yes,2023-06-21,"41,269,000","2,600,000,000"
835,AZ3ogJUe,tehran,buy-apartment,saadat-abad,320,1401,4,6,7,yes,yes,yes,2023-06-21,"234,375,000","75,000,000,000"
836,AZrZIRJ5,tehran,buy-apartment,seyyed-khandan,150,1396,3,2,NA,yes,yes,yes,2023-06-21,"130,000,000","19,500,000,000"
837,AZxJvLRy,tehran,buy-apartment,chitgar,188,1402,3,+30,NA,yes,yes,yes,2023-06-21,"24,936,000","4,688,000,000"
838,AZS2OBLd,tehran,buy-apartment,mobarak-abad-beheshti,56,1397,1,3,NA,yes,no,yes,2023-06-21,"30,357,000","1,700,000,000"
839,AZPi1Ip1,tehran,buy-apartment,moshiriyeh,35,1386,1,2,4,no,no,yes,2023-06-21,"45,714,000","1,600,000,000"
840,AZS6eGJE,tehran,buy-apartment,salsabil,58,1379,1,hmkhf,4,no,no,yes,2023-06-21,"49,827,000","2,890,000,000"
841,AZS6OGP3,tehran,buy-apartment,ajudaniye,216,1402,3,4,5,yes,yes,yes,2023-06-21,"261,203,000","56,420,000,000"
842,AZ_lElmG,tehran,buy-apartment,seyyed-khandan,105,1401,2,2,NA,yes,yes,yes,2023-06-21,"142,857,000","15,000,000,000"
843,AZrZxbRx,tehran,buy-apartment,sohanak,107,1402,2,2,NA,yes,yes,yes,2023-06-21,"152,336,000","16,300,000,000"
844,AZNyXBgj,tehran,buy-apartment,west-tehran-pars,141,1402,3,3,4,yes,yes,yes,2023-06-21,"125,000,000","17,625,000,000"
845,AZu5ypFY,tehran,buy-apartment,west-tehran-pars,121,1383,2,5,NA,yes,no,yes,2023-06-21,"88,429,000","10,700,000,000"
846,AZGCgkqi,tehran,buy-apartment,sohrevardi,80,1388,2,4,4,no,no,yes,2023-06-21,"48,750,000","3,900,000,000"
847,AZS6-DE1,tehran,buy-apartment,shahrara,99,1394,2,2,5,yes,yes,yes,2023-06-21,"116,161,000","11,500,000,000"
848,AZS6-Nq0,tehran,buy-apartment,saadat-abad,190,1401,3,2,NA,yes,yes,yes,2023-06-21,"250,000,000","47,500,000,000"
849,AZS6-G-t,tehran,buy-apartment,dezashib,104,1402,2,3,11,yes,yes,yes,2023-06-21,"140,000,000","14,560,000,000"
850,AZEuxtZ1,tehran,buy-apartment,elahiyeh,260,1397,3,8,NA,yes,yes,yes,2023-06-21,"342,307,000","89,000,000,000"
851,AZGqMNiP,tehran,buy-apartment,elahiyeh,160,1390,3,3,NA,yes,yes,yes,2023-06-21,"150,000,000","24,000,000,000"
852,AZS6uFZj,tehran,buy-apartment,punak,65,1392,2,2,5,yes,yes,yes,2023-06-21,"100,000,000","6,500,000,000"
853,AZS6-Frv,tehran,buy-apartment,south-jannat-abad,93,1392,2,3,5,yes,yes,yes,2023-06-21,"92,473,000","8,600,000,000"
854,AZQWCZw9,tehran,buy-apartment,aseman,112,1381,2,3,3,no,yes,yes,2023-06-21,"120,357,000","13,480,000,000"
855,AZRullnB,tehran,buy-apartment,punak,95,1381,2,2,NA,yes,yes,yes,2023-06-21,"97,894,000","9,300,000,000"
856,AZWV1aWa,tehran,buy-apartment,chitgar,100,1402,3,13,NA,yes,yes,yes,2023-06-21,"27,500,000","2,750,000,000"
857,AZ6pP5Bu,tehran,buy-apartment,chitgar,142,1402,3,15,15,yes,yes,yes,2023-06-21,"22,042,000","3,130,000,000"
858,AZQeHZQv,tehran,buy-apartment,nazi-abad,65,1401,1,3,NA,yes,yes,yes,2023-06-21,"52,000,000","3,380,000,000"
859,AZS-OHqf,tehran,buy-apartment,chitgar,100,1402,2,3,NA,yes,yes,yes,2023-06-21,"29,000,000","2,900,000,000"
860,AZS6OxLM,tehran,buy-apartment,central-jannat-abad,103,1384,2,4,5,yes,yes,yes,2023-06-21,"100,961,000","10,399,000,000"
861,AZS2OgKS,tehran,buy-apartment,abuzar,78,1386,3,4,NA,yes,no,yes,2023-06-21,"65,000,000","5,070,000,000"
862,AZDCXZIm,tehran,buy-apartment,marzdaran,125,1393,3,3,5,yes,yes,yes,2023-06-21,"130,400,000","16,300,000,000"
863,AZS6-tt9,tehran,buy-apartment,ajudaniye,270,1390,4,2,5,yes,yes,yes,2023-06-21,"266,666,000","72,000,000,000"
864,AZQKmVP2,tehran,buy-apartment,south-jannat-abad,76,1391,2,2,NA,yes,yes,yes,2023-06-21,"113,157,000","8,600,000,000"
865,AZR24763,tehran,buy-apartment,punak,59,1388,1,1,5,yes,yes,yes,2023-06-21,"101,694,000","6,000,000,000"
866,AZQ6kT0A,tehran,buy-apartment,tajrish,165,1382,3,2,5,yes,yes,yes,2023-06-21,"130,000,000","21,450,000,000"
867,AZS6eva1,tehran,buy-apartment,chitgar,146,1402,3,9,15,yes,yes,yes,2023-06-21,"23,972,000","3,500,000,000"
868,AZ2RgIWq,tehran,buy-apartment,heravi,110,1387,2,2,NA,yes,yes,yes,2023-06-21,"129,090,000","14,200,000,000"
869,AZS6unJY,tehran,buy-apartment,shahrak-naft-district5,86,1381,2,2,4,no,yes,yes,2023-06-21,"80,232,000","6,900,000,000"
870,AZS-eB9u,tehran,buy-apartment,south-jannat-abad,85,1388,2,1,NA,yes,yes,yes,2023-06-21,"105,882,000","9,000,000,000"
871,AZRabKi9,tehran,buy-apartment,moniriyeh,118,1402,2,4,5,yes,yes,yes,2023-06-21,"88,135,000","10,400,000,000"
872,AZS6OS_r,tehran,buy-apartment,parvaz,93,1399,2,2,5,yes,yes,yes,2023-06-21,"124,731,000","11,600,000,000"
873,AZGlpBok,tehran,buy-apartment,chitgar,100,1402,2,5,12,yes,yes,yes,2023-06-21,"19,000,000","1,900,000,000"
874,AZS6u2bK,tehran,buy-apartment,beryanak,45,1393,1,2,4,yes,yes,yes,2023-06-21,"57,777,000","2,600,000,000"
875,wYo3pfRu,tehran,buy-apartment,chitgar,100,1401,2,7,10,yes,yes,yes,2023-06-21,"19,000,000","1,900,000,000"
876,AZIaJnN0,tehran,buy-apartment,jeyhoon,82,1374,1,1,NA,no,yes,yes,2023-06-21,"44,268,000","3,630,000,000"
877,AZSyujEJ,tehran,buy-apartment,sazman-barnameh,106,1402,2,6,NA,yes,yes,yes,2023-06-21,"104,839,000","11,113,000,000"
878,AZQtnZge,tehran,buy-apartment,dar-abad,176,1402,3,9,NA,yes,yes,yes,2023-06-21,"126,262,000","22,222,222,222"
879,AZSyOfxs,tehran,buy-apartment,eskandari,53,1390,1,1,NA,no,yes,yes,2023-06-21,"43,396,000","2,300,000,000"
880,AZy5SAmR,tehran,buy-apartment,kuy-ferdows,100,1386,2,1,4,no,yes,yes,2023-06-21,"85,000,000","8,500,000,000"
881,AZ_hD5on,tehran,buy-apartment,velenjak,230,1393,3,4,5,yes,yes,yes,2023-06-21,"195,652,000","45,000,000,000"
882,AZSSsg85,tehran,buy-apartment,vanak,114,1385,2,5,NA,yes,yes,yes,2023-06-21,"131,578,000","15,000,000,000"
883,AZQGRgB3,tehran,buy-apartment,ekhtiarieh,95,1395,2,1,5,yes,yes,yes,2023-06-21,"151,578,000","14,400,000,000"
884,AZJKpkHN,tehran,buy-apartment,qeytarieh,123,1386,2,5,5,yes,yes,yes,2023-06-21,"143,495,000","17,650,000,000"
885,AZ0NsdMW,tehran,buy-apartment,seyyed-khandan,109,1401,2,4,5,yes,yes,yes,2023-06-21,"138,990,000","15,150,000,000"
886,AZSmt70v,tehran,buy-apartment,salsabil,96,1400,3,3,5,yes,yes,yes,2023-06-21,"65,104,000","6,250,000,000"
887,AZIuzyHX,tehran,buy-apartment,narmak,142,1381,3,hmkhf,NA,no,yes,yes,2023-06-21,"93,661,000","13,300,000,000"
888,AZJa1Ni0,tehran,buy-apartment,sattarkhan,113,1402,2,2,9,yes,yes,yes,2023-06-21,"108,053,000","12,210,000,000"
889,AZS-OJnx,tehran,buy-apartment,chitgar-lake,135,1401,3,17,NA,yes,yes,yes,2023-06-21,"85,177,000","11,499,000,000"
890,AZAeKIfB,tehran,buy-apartment,darrous,230,1401,3,4,5,yes,yes,yes,2023-06-21,"250,000,000","57,500,000,000"
891,AZAOFG6t,tehran,buy-apartment,azerbaijan,65,1384,2,3,4,no,yes,yes,2023-06-21,"46,153,000","3,000,000,000"
892,AZzJXoA4,tehran,buy-apartment,seyyed-khandan,131,1400,3,4,5,yes,yes,yes,2023-06-21,"140,076,000","18,350,000,000"
893,AZ1NaBP-,tehran,buy-apartment,chitgar,112,1402,2,10,30,yes,yes,yes,2023-06-21,"10,044,000","1,125,000,000"
894,AZS-urSL,tehran,buy-apartment,vanak,73,1384,1,1,NA,yes,yes,yes,2023-06-21,"123,287,000","9,000,000,000"
895,AZKSi13L,tehran,buy-apartment,west-tehran-pars,75,1385,2,4,NA,yes,yes,yes,2023-06-21,"113,333,000","8,500,000,000"
896,AZB6fiOO,tehran,buy-apartment,marzdaran,56,1390,1,1,5,yes,yes,yes,2023-06-21,"126,785,000","7,100,000,000"
897,AZS-Opt3,tehran,buy-apartment,jeyhoon,66,1387,2,1,4,no,yes,yes,2023-06-21,"53,030,000","3,500,000,000"
898,AZy9LB5h,tehran,buy-apartment,eram,90,1397,2,10,NA,yes,yes,yes,2023-06-21,"103,333,000","9,300,000,000"
899,AZS-ecPv,tehran,buy-apartment,central-jannat-abad,94,1402,2,3,5,yes,yes,yes,2023-06-21,"117,021,000","11,000,000,000"
900,AZzRxQsr,tehran,buy-apartment,shahrak-sadra,98,1402,2,12,NA,yes,yes,yes,2023-06-21,"100,000,000","9,800,000,000"
901,AZ09MsZe,tehran,buy-apartment,dehkadeh-olympic,145,1395,3,7,NA,yes,yes,yes,2023-06-21,"79,310,000","11,500,000,000"
902,AZA-3A9F,tehran,buy-apartment,azerbaijan,81,1382,2,1,4,no,no,yes,2023-06-21,"54,938,000","4,450,000,000"
903,AZOa-Hrf,tehran,buy-apartment,pasdaran,106,1401,2,2,11,yes,yes,yes,2023-06-21,"130,188,000","13,800,000,000"
904,AZQiUjM9,tehran,buy-apartment,azerbaijan,53,1376,1,4,4,no,no,yes,2023-06-21,"52,830,000","2,800,000,000"
